seed_id,pmid,target_family,status,reason,discovery_cohort,replication_cohort,matched_outcome_examples,missing_covariates,rejected_pair_reasons
pmid39013249_semantic_dmn_decreased_fc,39013249,normative_fmri,requires_new_feature_adapter,"The requested predictor/contrast is not locally executable. Stage 0 only marks seeds executable when the predictor maps to age/sex, the target diagnosis contrast, or an exact shared local column.",ABCD_DISC,HCP_Aging_REP,fc_fc_Cont_Cont;fc_fc_Cont_Cont_z;fc_fc_Cont_Cont_z_z;fc_fc_Cont_Default;fc_fc_Cont_Default_z;fc_fc_Cont_Default_z_z;fc_fc_Cont_DorsAttn;fc_fc_Cont_DorsAttn_z;fc_fc_Cont_DorsAttn_z_z;fc_fc_Cont_Limbic;fc_fc_Cont_Limbic_z;fc_fc_Cont_Limbic_z_z;fc_fc_Cont_SalVentAttn;fc_fc_Cont_SalVentAttn_z;fc_fc_Cont_SalVentAttn_z_z;fc_fc_Cont_SomMot;fc_fc_Cont_SomMot_z;fc_fc_Cont_SomMot_z_z;fc_fc_Cont_Vis;fc_fc_Cont_Vis_z;fc_fc_Cont_Vis_z_z;fc_fc_Default_Default;fc_fc_Default_Default_z;fc_fc_Default_Default_z_z;fc_fc_Default_DorsAttn,,
pmid33038808_1,33038808,normative_fmri,requires_new_feature_adapter,graph-theory or topology metrics are not present as local FC columns.,,,,,
pmid33038808_2,33038808,normative_fmri,requires_new_feature_adapter,diffusion MRI/DTI/DWI outcomes are not present in the local derivative tables.,,,,,
pmid33038808_3,33038808,normative_fmri,requires_new_feature_adapter,graph-theory or topology predictors are not present as local scalar predictors.,,,,,
24280637_1,24280637,normative_fmri,requires_new_feature_adapter,diffusion MRI/DTI/DWI outcomes are not present in the local derivative tables.,,,,,
24280637_2,24280637,normative_fmri,ambiguous_or_unsupported,No target-family cohort has locally prepared outcome columns matching this modality/family.,,,,,
24280637_3,24280637,normative_fmri,requires_new_feature_adapter,diffusion MRI/DTI/DWI outcomes are not present in the local derivative tables.,,,,,
pmid33210446_age_taskfc_network_reductions,33210446,normative_fmri,requires_new_feature_adapter,task-fMRI activation/connectivity is not represented by the local resting-state FC descriptors.,,,,,
pmid33210446_task_domain_moderates_age_fc,33210446,normative_fmri,requires_new_feature_adapter,task-fMRI activation/connectivity is not represented by the local resting-state FC descriptors.,,,,,
pmid33210446_fc_behavior_task_performance,33210446,normative_fmri,requires_new_feature_adapter,task-fMRI activation/connectivity is not represented by the local resting-state FC descriptors.,,,,,
pmid39711366_wmh_le8,39711366,normative_fmri,requires_new_feature_adapter,No target-family cohort has locally prepared outcome columns matching this modality/family.,,,,,
pmid39711366_gm_le8,39711366,normative_fmri,requires_new_feature_adapter,No target-family cohort has locally prepared outcome columns matching this modality/family.,,,,,
pmid39711366_hippocampus_le8,39711366,normative_fmri,requires_new_feature_adapter,No target-family cohort has locally prepared outcome columns matching this modality/family.,,,,,
pmid35842101_age_ivfc_triple_networks,35842101,normative_fmri,requires_new_feature_adapter,Individual-variability FC predictors are not available as scalar predictors in the local benchmark columns.,,,,,
pmid35842101_early_ivfc_executive_externalizing,35842101,normative_fmri,requires_new_feature_adapter,Individual-variability FC predictors are not available as scalar predictors in the local benchmark columns.,,,,,
pmid35842101_midlate_ivfc_emotion_internalizing_psychosis,35842101,normative_fmri,requires_new_feature_adapter,Symptom-severity predictors are not available in the local benchmark columns.,,,,,
pmid23333262_rsfc_aging_1,23333262,normative_fmri,executable_now,Local discovery and replication evidence have compatible outcome columns; unavailable optional covariates should be omitted during contract drafting.,ABCD_DISC,HCP_Aging_REP,fc_fc_Cont_Cont;fc_fc_Cont_Cont_z;fc_fc_Cont_Cont_z_z;fc_fc_Cont_Default;fc_fc_Cont_Default_z;fc_fc_Cont_Default_z_z;fc_fc_Cont_DorsAttn;fc_fc_Cont_DorsAttn_z;fc_fc_Cont_DorsAttn_z_z;fc_fc_Cont_Limbic;fc_fc_Cont_Limbic_z;fc_fc_Cont_Limbic_z_z;fc_fc_Cont_SalVentAttn;fc_fc_Cont_SalVentAttn_z;fc_fc_Cont_SalVentAttn_z_z;fc_fc_Cont_SomMot;fc_fc_Cont_SomMot_z;fc_fc_Cont_SomMot_z_z;fc_fc_Cont_Vis;fc_fc_Cont_Vis_z;fc_fc_Cont_Vis_z_z;fc_fc_Default_Default;fc_fc_Default_Default_z;fc_fc_Default_Default_z_z;fc_fc_Default_DorsAttn,,
pmid26663386_age_cingulum_sc,26663386,normative_fmri,requires_new_feature_adapter,diffusion MRI/DTI/DWI outcomes are not present in the local derivative tables.,,,,,
pmid26663386_age_cingulum_fc,26663386,normative_fmri,executable_now,Local discovery and replication evidence have compatible outcome columns; unavailable optional covariates should be omitted during contract drafting.,ABCD_DISC,HCP_Aging_REP,fc_fc_Cont_Cont;fc_fc_Cont_Cont_z;fc_fc_Cont_Cont_z_z;fc_fc_Cont_Default;fc_fc_Cont_Default_z;fc_fc_Cont_Default_z_z;fc_fc_Cont_DorsAttn;fc_fc_Cont_DorsAttn_z;fc_fc_Cont_DorsAttn_z_z;fc_fc_Cont_Limbic;fc_fc_Cont_Limbic_z;fc_fc_Cont_Limbic_z_z;fc_fc_Cont_SalVentAttn;fc_fc_Cont_SalVentAttn_z;fc_fc_Cont_SalVentAttn_z_z;fc_fc_Cont_SomMot;fc_fc_Cont_SomMot_z;fc_fc_Cont_SomMot_z_z;fc_fc_Cont_Vis;fc_fc_Cont_Vis_z;fc_fc_Cont_Vis_z_z;fc_fc_Default_Default;fc_fc_Default_Default_z;fc_fc_Default_Default_z_z;fc_fc_Default_DorsAttn,,
pmid26663386_cingulum_sc_fc_relation,26663386,normative_fmri,requires_new_feature_adapter,diffusion MRI/DTI/DWI outcomes are not present in the local derivative tables.,,,,,
pmid35914474_aging_meg_sync_variability,35914474,normative_fmri,requires_new_feature_adapter,EEG/MEG outcomes are outside the local neuroimaging derivative tables.,,,,,
pmid35914474_aging_dmn_info_transfer,35914474,normative_fmri,requires_new_feature_adapter,EEG/MEG outcomes are outside the local neuroimaging derivative tables.,,,,,
pmid35914474_meg_connectivity_cognition,35914474,normative_fmri,requires_new_feature_adapter,EEG/MEG outcomes are outside the local neuroimaging derivative tables.,,,,,
pmid25862940_age_thalamus_structure,25862940,normative_fmri,requires_new_feature_adapter,diffusion MRI/DTI/DWI outcomes are not present in the local derivative tables.,,,,,
pmid25862940_age_anterior_posterior_thalamus,25862940,normative_fmri,requires_new_feature_adapter,diffusion MRI/DTI/DWI outcomes are not present in the local derivative tables.,,,,,
pmid25862940_age_thalamic_networks,25862940,normative_fmri,requires_new_feature_adapter,diffusion MRI/DTI/DWI outcomes are not present in the local derivative tables.,,,,,
pmid37802405_qsm_age_putamen,37802405,normative_fmri,ambiguous_or_unsupported,No target-family cohort has locally prepared outcome columns matching this modality/family.,,,,,
pmid37802405_qsm_age_cortex,37802405,normative_fmri,ambiguous_or_unsupported,No target-family cohort has locally prepared outcome columns matching this modality/family.,,,,,
pmid37802405_qsm_iron_fluid_cognition,37802405,normative_fmri,ambiguous_or_unsupported,No target-family cohort has locally prepared outcome columns matching this modality/family.,,,,,
pmid36190445_01,36190445,normative_fmri,requires_new_feature_adapter,task-fMRI activation/connectivity is not represented by the local resting-state FC descriptors.,,,,,
pmid36190445_02,36190445,normative_fmri,requires_new_feature_adapter,task-fMRI activation/connectivity is not represented by the local resting-state FC descriptors.,,,,,
pmid36190445_03,36190445,normative_fmri,requires_new_feature_adapter,task-fMRI activation/connectivity is not represented by the local resting-state FC descriptors.,,,,,
pmid40924581_menopause_hippocampal_volume,40924581,normative_fmri,requires_new_feature_adapter,No target-family cohort has locally prepared outcome columns matching this modality/family.,,,,,
pmid40924581_livebirths_total_cerebral_volume,40924581,normative_fmri,requires_new_feature_adapter,No target-family cohort has locally prepared outcome columns matching this modality/family.,,,,,
pmid29772378_crnetwork_iq,29772378,normative_fmri,requires_new_feature_adapter,task-fMRI activation/connectivity is not represented by the local resting-state FC descriptors.,,,,,
pmid29772378_crnetwork_reasoning,29772378,normative_fmri,requires_new_feature_adapter,task-fMRI activation/connectivity is not represented by the local resting-state FC descriptors.,,,,,
pmid29772378_crnetwork_moderation,29772378,normative_fmri,requires_new_feature_adapter,task-fMRI activation/connectivity is not represented by the local resting-state FC descriptors.,,,,,
pmid32721510_hbmale_fc,32721510,normative_fmri,requires_new_feature_adapter,"The requested predictor/contrast is not locally executable. Stage 0 only marks seeds executable when the predictor maps to age/sex, the target diagnosis contrast, or an exact shared local column.",ABCD_DISC,HCP_Aging_REP,fc_fc_Cont_Cont;fc_fc_Cont_Cont_z;fc_fc_Cont_Cont_z_z;fc_fc_Cont_Default;fc_fc_Cont_Default_z;fc_fc_Cont_Default_z_z;fc_fc_Cont_DorsAttn;fc_fc_Cont_DorsAttn_z;fc_fc_Cont_DorsAttn_z_z;fc_fc_Cont_Limbic;fc_fc_Cont_Limbic_z;fc_fc_Cont_Limbic_z_z;fc_fc_Cont_SalVentAttn;fc_fc_Cont_SalVentAttn_z;fc_fc_Cont_SalVentAttn_z_z;fc_fc_Cont_SomMot;fc_fc_Cont_SomMot_z;fc_fc_Cont_SomMot_z_z;fc_fc_Cont_Vis;fc_fc_Cont_Vis_z;fc_fc_Cont_Vis_z_z;fc_fc_Default_Default;fc_fc_Default_Default_z;fc_fc_Default_Default_z_z;fc_fc_Default_DorsAttn,,
pmid32721510_hbfemale_fc,32721510,normative_fmri,requires_new_feature_adapter,"The requested predictor/contrast is not locally executable. Stage 0 only marks seeds executable when the predictor maps to age/sex, the target diagnosis contrast, or an exact shared local column.",ABCD_DISC,HCP_Aging_REP,fc_fc_Cont_Cont;fc_fc_Cont_Cont_z;fc_fc_Cont_Cont_z_z;fc_fc_Cont_Default;fc_fc_Cont_Default_z;fc_fc_Cont_Default_z_z;fc_fc_Cont_DorsAttn;fc_fc_Cont_DorsAttn_z;fc_fc_Cont_DorsAttn_z_z;fc_fc_Cont_Limbic;fc_fc_Cont_Limbic_z;fc_fc_Cont_Limbic_z_z;fc_fc_Cont_SalVentAttn;fc_fc_Cont_SalVentAttn_z;fc_fc_Cont_SalVentAttn_z_z;fc_fc_Cont_SomMot;fc_fc_Cont_SomMot_z;fc_fc_Cont_SomMot_z_z;fc_fc_Cont_Vis;fc_fc_Cont_Vis_z;fc_fc_Cont_Vis_z_z;fc_fc_Default_Default;fc_fc_Default_Default_z;fc_fc_Default_Default_z_z;fc_fc_Default_DorsAttn,,
pmid32721510_hb_fc_cognition,32721510,normative_fmri,requires_new_feature_adapter,Brain-to-behavior claims with imaging predictors and behavioral/cognitive outcomes are not executable by the current imaging-outcome CONFIRM contract.,,,,,
pmid37067099_phfc_fluidreasoning,37067099,normative_fmri,requires_new_feature_adapter,Brain-to-behavior claims with imaging predictors and behavioral/cognitive outcomes are not executable by the current imaging-outcome CONFIRM contract.,,,,,
pmid37067099_phfc_vocabulary,37067099,normative_fmri,requires_new_feature_adapter,Brain-to-behavior claims with imaging predictors and behavioral/cognitive outcomes are not executable by the current imaging-outcome CONFIRM contract.,,,,,
pmid37067099_phfc_cognitivevariance,37067099,normative_fmri,requires_new_feature_adapter,graph-theory or topology predictors are not present as local scalar predictors.,,,,,
33278156_structural_adhd_vs_tdc,33278156,adhd,requires_new_feature_adapter,"cerebellar, thalamic, subcortical, or midbrain outcomes are not represented by the local FC network columns.",,,,,
33278156_fmri_rfmri_adhd_vs_controls,33278156,adhd,requires_new_feature_adapter,task-fMRI activation/connectivity is not represented by the local resting-state FC descriptors.,,,,,
pmid19393378_smri_volume_adhd_controls,19393378,adhd,requires_new_feature_adapter,No target-family cohort has locally prepared outcome columns matching this modality/family.,,,,,
pmid19393378_taskfmri_hypoactivation_adhd_controls,19393378,adhd,requires_new_feature_adapter,task-fMRI activation/connectivity is not represented by the local resting-state FC descriptors.,,,,,
pmid19393378_taskfmri_diffuse_activation_adhd_controls,19393378,adhd,requires_new_feature_adapter,task-fMRI activation/connectivity is not represented by the local resting-state FC descriptors.,,,,,
pmid34440925_adhd_fmri_nirs_neurofeedback_001,34440925,adhd,requires_new_feature_adapter,Brain-to-behavior claims with imaging predictors and behavioral/cognitive outcomes are not executable by the current imaging-outcome CONFIRM contract.,,,,,
pmid22983386_child_frontoparietal_attention_hypoactivation,22983386,adhd,requires_new_feature_adapter,task-fMRI activation/connectivity is not represented by the local resting-state FC descriptors.,,,,,
pmid22983386_adult_frontoparietal_hypoactivation,22983386,adhd,requires_new_feature_adapter,task-fMRI activation/connectivity is not represented by the local resting-state FC descriptors.,,,,,
pmid22983386_default_network_hyperactivation,22983386,adhd,requires_new_feature_adapter,task-fMRI activation/connectivity is not represented by the local resting-state FC descriptors.,,,,,
pmid32216846_adhd_vbm_vmofc_gmv,32216846,adhd,requires_new_feature_adapter,No target-family cohort has locally prepared outcome columns matching this modality/family.,,,,,
pmid32216846_adhd_asd_taskfmri_ifs_underactivation,32216846,adhd,requires_new_feature_adapter,task-fMRI activation/connectivity is not represented by the local resting-state FC descriptors.,,,,,
pmid32216846_adhd_asd_taskfmri_rai_shared,32216846,adhd,requires_new_feature_adapter,task-fMRI activation/connectivity is not represented by the local resting-state FC descriptors.,,,,,
pmid32753637_adhd_taskfmri_dmn_combo,32753637,adhd,requires_new_feature_adapter,task-fMRI activation/connectivity is not represented by the local resting-state FC descriptors.,,,,,
pmid39856610_1,39856610,adhd,executable_now,Local discovery and replication evidence have compatible outcome columns; unavailable optional covariates should be omitted during contract drafting.,ABCD_DISC,ADHD200_REP,fc_fc_Cont_Cont;fc_fc_Cont_Cont_z;fc_fc_Cont_Cont_z_z;fc_fc_Cont_Default;fc_fc_Cont_Default_z;fc_fc_Cont_Default_z_z;fc_fc_Cont_DorsAttn;fc_fc_Cont_DorsAttn_z;fc_fc_Cont_DorsAttn_z_z;fc_fc_Cont_Limbic;fc_fc_Cont_Limbic_z;fc_fc_Cont_Limbic_z_z;fc_fc_Cont_SalVentAttn;fc_fc_Cont_SalVentAttn_z;fc_fc_Cont_SalVentAttn_z_z;fc_fc_Cont_SomMot;fc_fc_Cont_SomMot_z;fc_fc_Cont_SomMot_z_z;fc_fc_Cont_Vis;fc_fc_Cont_Vis_z;fc_fc_Cont_Vis_z_z;fc_fc_Default_Default;fc_fc_Default_Default_z;fc_fc_Default_Default_z_z;fc_fc_Default_DorsAttn,,
pmid39856610_2,39856610,adhd,requires_new_feature_adapter,diffusion MRI/DTI/DWI outcomes are not present in the local derivative tables.,,,,,
pmid39856610_3,39856610,adhd,requires_new_feature_adapter,diffusion MRI/DTI/DWI outcomes are not present in the local derivative tables.,,,,,
pmid35583796_dti_cc_fa,35583796,adhd,requires_new_feature_adapter,diffusion MRI/DTI/DWI outcomes are not present in the local derivative tables.,,,,,
pmid35583796_rsfc_dmn_within,35583796,adhd,executable_now,Local discovery and replication evidence have compatible outcome columns; unavailable optional covariates should be omitted during contract drafting.,ABCD_DISC,ADHD200_REP,fc_fc_Cont_Cont;fc_fc_Cont_Cont_z;fc_fc_Cont_Cont_z_z;fc_fc_Cont_Default;fc_fc_Cont_Default_z;fc_fc_Cont_Default_z_z;fc_fc_Cont_DorsAttn;fc_fc_Cont_DorsAttn_z;fc_fc_Cont_DorsAttn_z_z;fc_fc_Cont_Limbic;fc_fc_Cont_Limbic_z;fc_fc_Cont_Limbic_z_z;fc_fc_Cont_SalVentAttn;fc_fc_Cont_SalVentAttn_z;fc_fc_Cont_SalVentAttn_z_z;fc_fc_Cont_SomMot;fc_fc_Cont_SomMot_z;fc_fc_Cont_SomMot_z_z;fc_fc_Cont_Vis;fc_fc_Cont_Vis_z;fc_fc_Cont_Vis_z_z;fc_fc_Default_Default;fc_fc_Default_Default_z;fc_fc_Default_Default_z_z;fc_fc_Default_DorsAttn,comorbidity;medication status,
pmid35583796_rsfc_dmn_control_salience,35583796,adhd,executable_now,Local discovery and replication evidence have compatible outcome columns; unavailable optional covariates should be omitted during contract drafting.,ABCD_DISC,ADHD200_REP,fc_fc_Cont_Cont;fc_fc_Cont_Cont_z;fc_fc_Cont_Cont_z_z;fc_fc_Cont_Default;fc_fc_Cont_Default_z;fc_fc_Cont_Default_z_z;fc_fc_Cont_DorsAttn;fc_fc_Cont_DorsAttn_z;fc_fc_Cont_DorsAttn_z_z;fc_fc_Cont_Limbic;fc_fc_Cont_Limbic_z;fc_fc_Cont_Limbic_z_z;fc_fc_Cont_SalVentAttn;fc_fc_Cont_SalVentAttn_z;fc_fc_Cont_SalVentAttn_z_z;fc_fc_Cont_SomMot;fc_fc_Cont_SomMot_z;fc_fc_Cont_SomMot_z_z;fc_fc_Cont_Vis;fc_fc_Cont_Vis_z;fc_fc_Cont_Vis_z_z;fc_fc_Default_Default;fc_fc_Default_Default_z;fc_fc_Default_Default_z_z;fc_fc_Default_DorsAttn,comorbidity;medication status,
pmid38367454_adhd_fpn_mse,38367454,adhd,requires_new_feature_adapter,No target-family cohort has locally prepared outcome columns matching this modality/family.,,,,,
pmid38367454_adhd_fpn_fc,38367454,adhd,requires_new_feature_adapter,"The requested predictor/contrast is not locally executable. Stage 0 only marks seeds executable when the predictor maps to age/sex, the target diagnosis contrast, or an exact shared local column.",ABCD_DISC,ADHD200_REP,fc_fc_Cont_Cont;fc_fc_Cont_Cont_z;fc_fc_Cont_Cont_z_z;fc_fc_Cont_Default;fc_fc_Cont_Default_z;fc_fc_Cont_Default_z_z;fc_fc_Cont_DorsAttn;fc_fc_Cont_DorsAttn_z;fc_fc_Cont_DorsAttn_z_z;fc_fc_Cont_Limbic;fc_fc_Cont_Limbic_z;fc_fc_Cont_Limbic_z_z;fc_fc_Cont_SalVentAttn;fc_fc_Cont_SalVentAttn_z;fc_fc_Cont_SalVentAttn_z_z;fc_fc_Cont_SomMot;fc_fc_Cont_SomMot_z;fc_fc_Cont_SomMot_z_z;fc_fc_Cont_Vis;fc_fc_Cont_Vis_z;fc_fc_Cont_Vis_z_z;fc_fc_Default_Default;fc_fc_Default_Default_z;fc_fc_Default_Default_z_z;fc_fc_Default_DorsAttn,,
pmid38367454_adhd_mse_fc_coupling,38367454,adhd,requires_new_feature_adapter,No target-family cohort has locally prepared outcome columns matching this modality/family.,,,,,
pmid38083173_adhd_dfc_pcc_networks,38083173,adhd,requires_new_feature_adapter,"dynamic, heterogeneity, or individual-variability FC metrics are not represented by the local static FC descriptors.",,,,,
pmid38083173_adhd_dfc_mpfc_networks,38083173,adhd,requires_new_feature_adapter,"dynamic, heterogeneity, or individual-variability FC metrics are not represented by the local static FC descriptors.",,,,,
pmid38083173_adhd_dfc_regional_variability,38083173,adhd,requires_new_feature_adapter,"dynamic, heterogeneity, or individual-variability FC metrics are not represented by the local static FC descriptors.",,,,,
pmid36403658_adhd_dmn_fc,36403658,adhd,executable_now,Local discovery and replication evidence have compatible outcome columns; unavailable optional covariates should be omitted during contract drafting.,ABCD_DISC,ADHD200_REP,fc_fc_Cont_Cont;fc_fc_Cont_Cont_z;fc_fc_Cont_Cont_z_z;fc_fc_Cont_Default;fc_fc_Cont_Default_z;fc_fc_Cont_Default_z_z;fc_fc_Cont_DorsAttn;fc_fc_Cont_DorsAttn_z;fc_fc_Cont_DorsAttn_z_z;fc_fc_Cont_Limbic;fc_fc_Cont_Limbic_z;fc_fc_Cont_Limbic_z_z;fc_fc_Cont_SalVentAttn;fc_fc_Cont_SalVentAttn_z;fc_fc_Cont_SalVentAttn_z_z;fc_fc_Cont_SomMot;fc_fc_Cont_SomMot_z;fc_fc_Cont_SomMot_z_z;fc_fc_Cont_Vis;fc_fc_Cont_Vis_z;fc_fc_Cont_Vis_z_z;fc_fc_Default_Default;fc_fc_Default_Default_z;fc_fc_Default_Default_z_z;fc_fc_Default_DorsAttn,ADHD comorbidity status;social phobia diagnosis,
pmid36403658_adhd_sog_topology,36403658,adhd,requires_new_feature_adapter,"The requested predictor/contrast is not locally executable. Stage 0 only marks seeds executable when the predictor maps to age/sex, the target diagnosis contrast, or an exact shared local column.",ABCD_DISC,ADHD200_REP,fc_fc_Cont_Cont;fc_fc_Cont_Cont_z;fc_fc_Cont_Cont_z_z;fc_fc_Cont_Default;fc_fc_Cont_Default_z;fc_fc_Cont_Default_z_z;fc_fc_Cont_DorsAttn;fc_fc_Cont_DorsAttn_z;fc_fc_Cont_DorsAttn_z_z;fc_fc_Cont_Limbic;fc_fc_Cont_Limbic_z;fc_fc_Cont_Limbic_z_z;fc_fc_Cont_SalVentAttn;fc_fc_Cont_SalVentAttn_z;fc_fc_Cont_SalVentAttn_z_z;fc_fc_Cont_SomMot;fc_fc_Cont_SomMot_z;fc_fc_Cont_SomMot_z_z;fc_fc_Cont_Vis;fc_fc_Cont_Vis_z;fc_fc_Cont_Vis_z_z;fc_fc_Default_Default;fc_fc_Default_Default_z;fc_fc_Default_Default_z_z;fc_fc_Default_DorsAttn,,
pmid36403658_adhd_fc_classifier,36403658,adhd,executable_now,Local discovery and replication evidence have compatible outcome columns; unavailable optional covariates should be omitted during contract drafting.,ABCD_DISC,ADHD200_REP,fc_fc_Cont_Cont;fc_fc_Cont_Cont_z;fc_fc_Cont_Cont_z_z;fc_fc_Cont_Default;fc_fc_Cont_Default_z;fc_fc_Cont_Default_z_z;fc_fc_Cont_DorsAttn;fc_fc_Cont_DorsAttn_z;fc_fc_Cont_DorsAttn_z_z;fc_fc_Cont_Limbic;fc_fc_Cont_Limbic_z;fc_fc_Cont_Limbic_z_z;fc_fc_Cont_SalVentAttn;fc_fc_Cont_SalVentAttn_z;fc_fc_Cont_SalVentAttn_z_z;fc_fc_Cont_SomMot;fc_fc_Cont_SomMot_z;fc_fc_Cont_SomMot_z_z;fc_fc_Cont_Vis;fc_fc_Cont_Vis_z;fc_fc_Cont_Vis_z_z;fc_fc_Default_Default;fc_fc_Default_Default_z;fc_fc_Default_Default_z_z;fc_fc_Default_DorsAttn,ADHD comorbidity status;group status;social phobia diagnosis,
35359026_1,35359026,adhd,executable_now,Local discovery and replication evidence have compatible outcome columns; unavailable optional covariates should be omitted during contract drafting.,ABCD_DISC,ADHD200_REP,fc_fc_Cont_Cont;fc_fc_Cont_Cont_z;fc_fc_Cont_Cont_z_z;fc_fc_Cont_Default;fc_fc_Cont_Default_z;fc_fc_Cont_Default_z_z;fc_fc_Cont_DorsAttn;fc_fc_Cont_DorsAttn_z;fc_fc_Cont_DorsAttn_z_z;fc_fc_Cont_Limbic;fc_fc_Cont_Limbic_z;fc_fc_Cont_Limbic_z_z;fc_fc_Cont_SalVentAttn;fc_fc_Cont_SalVentAttn_z;fc_fc_Cont_SalVentAttn_z_z;fc_fc_Cont_SomMot;fc_fc_Cont_SomMot_z;fc_fc_Cont_SomMot_z_z;fc_fc_Cont_Vis;fc_fc_Cont_Vis_z;fc_fc_Cont_Vis_z_z;fc_fc_Default_Default;fc_fc_Default_Default_z;fc_fc_Default_Default_z_z;fc_fc_Default_DorsAttn,,
35359026_2,35359026,adhd,requires_new_feature_adapter,No target-family cohort has locally prepared outcome columns matching this modality/family.,,,,,
35359026_3,35359026,adhd,requires_new_feature_adapter,structural-connectivity or white-matter tract outcomes need a new feature adapter.,,,,,
